Jurisdiction,Prob,Topic,Accuracy
        Missouri  ,0.9853025480849685, 11,  0.672705
         Montana  ,0.7889494662935367, 11,  0.772238
        Nebraska  ,0.999994534234156, 11,  0.847724
          Nevada  ,0.8469780801248861, 11,  0.577331
   New Hampshire  ,0.7154932871672413, 11,  0.567340
      New Jersey  ,0.9750597729911343, 11,  0.891674
      New Mexico  ,0.9864355558128219, 11,  0.766939
        New York  ,0.9803573094287262, 11,  0.899820
  North Carolina  ,0.9466946772482612, 11,  0.790828
    North Dakota  ,0.8255815313464652, 11,  0.647287
            Ohio  ,0.9636352062175335, 11,  0.798030
        Oklahoma  ,0.8939618919049769, 11,  0.823197
          Oregon  ,0.9582975723235856, 11,  0.880408
    Pennsylvania  ,0.9099347584357171, 11,  0.635160
    Rhode Island  ,0.9415702617749941, 11,  0.675833
  South Carolina  ,0.9454035324429685, 11,  0.802120
    South Dakota  ,0.8707178698567595, 11,  0.515942
       Tennessee  ,0.8888247456773779, 11,  0.775487
           Texas  ,0.9260761303551819, 11,  0.784381
            Utah  ,0.5176268797958317, 11,  0.663788
         Vermont  ,0.9676546856684197, 11,  0.809874
        Virginia  ,0.9227604334744665, 11,  0.749163
      Washington  ,0.8719093859027819, 11,  0.769841
   West Virginia  ,0.9493655835997205, 11,  0.812607
       Wisconsin  ,0.9659449745847906, 11,  0.801786
         Wyoming  ,0.852429905458058, 11,  0.764706
         Alabama  ,0.8761004958514155,  1,0.694369
          Alaska  ,0.948965157715372,  1,0.896667
         Arizona  ,0.8929747552890681,  1,0.651775
        Arkansas  ,0.8420434121002514,  1,0.714707
      California  ,0.9017365978241387,  1,0.760755
        Colorado  ,0.8340061685517671,  1,0.467057
     Connecticut  ,0.9925998523371159,  1,0.932267
        Delaware  ,0.806581426997857,  1,0.646794
         Florida  ,0.9844758574262608,  1,0.885746
         Georgia  ,0.8545293440322396,  1,0.771892
          Hawaii  ,0.9506146080901585,  1,0.819154
           Idaho  ,0.9446658523131334,  1,0.833031
        Illinois  ,0.9649308117719712,  1,0.840065
         Indiana  ,0.963538252257936,  1,0.911031
            Iowa  ,0.9444094224851145,  1,0.833552
          Kansas  ,0.9532650377434958,  1,0.066667
        Kentucky  ,0.7660539996966425,  1,0.562195
       Louisiana  ,0.8171578492343887,  1,0.694873
           Maine  ,0.9143250252759108,  1,0.572934
